Nawisko aktualne,Liczba
MATUSIK,3435
GALIŃSKA,3432
ZAWISTOWSKA,3431
CZAPLIŃSKA,3428
GAZDA,3425
KOZYRA,3424
NIEZGODA,3422
GAJ,3419
JEDYNAK,3415
GRYGIEL,3411
PÓŁTORAK,3411
WINNICKA,3411
BUREK,3408
BARTOSIEWICZ,3402
PLEWA,3402
GAŁECKA,3399
OKOŃ,3391
SZUBERT,3382
BARTNICKA,3372
FRANKIEWICZ,3372
KOMAR,3371
MUSIOŁ,3371
JASKÓLSKA,3369
KAZIMIERCZAK,3368
CZUBA,3363
NALEPA,3363
TYMIŃSKA,3363
KRASKA,3357
POLISHCHUK,3356
ŁACH,3350
MIECZKOWSKA,3350
MAJDA,3349
BIEL,3346
SOBOCIŃSKA,3345
KOSTRZEWSKA,3344
WALIGÓRA,3344
SZWEDA,3341
KAPICA,3332
BERNACKA,3330
STENCEL,3330
KOŚCIELNIAK,3328
SKWAREK,3326
KOZICKA,3325
IWANOWSKA,3323
SITKO,3322
WIELGOSZ,3321
WŁOCH,3320
KLIMAS,3318
TUSZYŃSKA,3318
KLIMASZEWSKA,3313
SKORUPSKA,3311
RÓG,3308
SZCZEPANEK,3297
NADOLNA,3289
BOROŃ,3288
SARNOWSKA,3284
BOGDAN,3283
MIŚ,3278
PRZYBYSZEWSKA,3277
DANIEL,3274
JANECZEK,3273
PIETRZYKOWSKA,3273
MATCZAK,3272
GAJEK,3269
MARCZEWSKA,3269
GOŁASZEWSKA,3268
LEMAŃSKA,3266
KRÓLIK,3265
PASTUSZKA,3265
MŁYNARSKA,3263
DRĄG,3261
GALAS,3259
NOSAL,3255
BŁASZKIEWICZ,3253
ĆWIK,3252
KRAUSE,3251
BIEŃ,3250
DUSZA,3250
IWANICKA,3250
OZGA,3248
DOMAGALSKA,3246
SŁOMIŃSKA,3246
WISZNIEWSKA,3246
OGÓREK,3240
PODSIADŁO,3240
JACKIEWICZ,3239
NEUMANN,3236
RYBIŃSKA,3232
SEWERYN,3227
SMYK,3227
ANTKOWIAK,3224
RYCHLIK,3220
WILCZEWSKA,3220
SOBCZYŃSKA,3217
MAKAREWICZ,3215
STRZAŁKOWSKA,3215
ZAWIŚLAK,3214
SPYCHAŁA,3213
GAŁUSZKA,3209
KASPERSKA,3208
NYCZ,3206
RUMIŃSKA,3201
SZAFRAN,3201
TKACHUK,3201
WCISŁO,3199
TURSKA,3196
RADWAŃSKA,3193
WYDRA,3184
PIEŃKOWSKA,3183
RYBA,3178
KORNACKA,3176
MACHNIK,3175
TABOR,3174
ZALESKA,3174
BARTKOWSKA,3169
ŁUGOWSKA,3169
GÓRALSKA,3167
LEWCZUK,3165
MIKUŁA,3163
SŁOMKA,3160
LUDWICZAK,3158
ROKITA,3156
