Nawisko aktualne,Liczba
PIÓRKOWSKI,6479
ZAJĄCZKOWSKI,6460
PIWOWARCZYK,6454
KAŁUŻA,6449
BIELAWSKI,6437
FALKOWSKI,6420
JAGODZIŃSKI,6404
BOROWIEC,6389
JAGIEŁŁO,6384
KRAKOWIAK,6383
JĘDRZEJCZAK,6361
ZIELONKA,6361
CZAPLA,6355
GUTOWSKI,6354
KUBACKI,6348
ŁUKASZEWSKI,6330
KAŁUŻNY,6327
SKIBIŃSKI,6326
LISIECKI,6306
WILCZEK,6284
STELMACH,6270
SOBIERAJ,6263
SOŁTYS,6255
DROZDOWSKI,6219
JAKUBIAK,6217
TARNOWSKI,6214
SZCZEŚNIAK,6211
SKOCZYLAS,6205
WOŹNY,6204
JURKIEWICZ,6188
URBAŃCZYK,6180
RACZYŃSKI,6172
TWARDOWSKI,6167
ANDRZEJCZAK,6163
PAKUŁA,6161
WASIAK,6161
STRZELCZYK,6157
PILARSKI,6156
NOWACZYK,6138
BARTOSIK,6119
KUBICA,6118
GĄSIOROWSKI,6117
CISZEWSKI,6109
KĘDZIORA,6098
BOBER,6094
MELNYK,6068
DUBIEL,6049
MIERZEJEWSKI,6034
BILSKI,6012
GUZIK,6010
GOŁĄB,5989
MAJCHER,5989
GÓRNIAK,5961
STANEK,5949
MILCZAREK,5934
KOPCZYŃSKI,5910
GÓRAL,5888
SZWED,5881
FLOREK,5880
WIĘCEK,5872
RUSIN,5869
STASZEWSKI,5852
MOTYKA,5850
CHOLEWA,5831
STOLARCZYK,5828
KRUPIŃSKI,5827
BURY,5814
KAPUSTA,5803
MISZTAL,5788
KASZUBA,5784
MATUSZAK,5775
PYTEL,5774
JAŚKIEWICZ,5772
KULIG,5761
SŁOWIŃSKI,5761
BIAŁY,5752
GRZYWACZ,5751
WOLAK,5750
RUCIŃSKI,5744
KUCHTA,5721
KUC,5717
FLORCZAK,5716
SIEDLECKI,5700
PROKOP,5682
BOŻEK,5679
SIERADZKI,5672
NOGA,5666
PACZKOWSKI,5661
MALICKI,5655
KOZA,5650
ZAGÓRSKI,5646
MICHAŁEK,5643
KACZMARSKI,5640
WOJTAS,5639
DOMINIAK,5633
KĘPA,5625
JEZIERSKI,5623
OLCZAK,5623
JANKOWIAK,5611
ZWOLIŃSKI,5611
SKÓRA,5608
GWÓŹDŹ,5601
STĘPNIAK,5580
DUDZIAK,5575
GAŁKA,5574
SITEK,5566
MODZELEWSKI,5562
BIELAK,5558
IWAŃSKI,5558
