Nawisko aktualne,Liczba
STROJEC,118
SUPROŃ,118
SZACHOWSKI,118
SZALLA,118
SZERWIŃSKI,118
SZEWERNIAK,118
SZUTARSKI,118
SZUTKIEWICZ,118
SZYBOWICZ,118
SZYKULSKI,118
SZYMANKOWSKI,118
ŚWIOKŁO,118
TEWS,118
TRĄBCZYŃSKI,118
TRZEBUNIA,118
TRZEŚNIAK,118
TYSZEWSKI,118
URZYKOWSKI,118
WAJZER,118
WAWRÓW,118
WĄWOŹNY,118
WIATKOWSKI,118
WICHNIAREK,118
WILKANIEC,118
WIŁA,118
WINGERT,118
WINNY,118
WNĘCZAK,118
WOLSZLEGER,118
WORONOWSKI,118
WRZOŁ,118
WYGRABEK,118
WYLECIAŁ,118
WYRÓD,118
YAKUSHEV,118
ZABOLOTNII,118
ZDUNIK,118
ZWIERZAŃSKI,118
ZYSIAK,118
AHAFONOV,117
ANDRUSYK,117
ASKAROV,117
AUGUSTIN,117
BACHORCZYK,117
BALISZEWSKI,117
BAŁAŻYK,117
BASAŁAJ,117
BATOGOWSKI,117
BEJENKA,117
BENIAK,117
BERESIŃSKI,117
BIAŁOGŁOWICZ,117
BIRNBACH,117
BŁOCIŃSKI,117
BOBECKI,117
BOJAROWICZ,117
BONDAROWICZ,117
BORZEWSKI,117
BRAND,117
BRDYS,117
BRESZKA,117
BRUSS,117
BZDRĘGA,117
CHOCIAN,117
CHODACZ,117
CHODOROWICZ,117
CHORĄŻYK,117
CHOROSZYŃSKI,117
CHRUŚCIELSKI,117
CHUBENKO,117
CIACHOROWSKI,117
CIACHOWSKI,117
CIEPIELSKI,117
DAMASZEK,117
DAN,117
DANCHENKO,117
DANCHUK,117
DASZYKOWSKI,117
DEINEKO,117
DEMBCZYŃSKI,117
DOROSHCHUK,117
DUDZISZ,117
DUMANA,117
DURAJEWSKI,117
DYCHTOŃ,117
DYDYK,117
DYNYSIUK,117
DZADZ,117
FILIUK,117
FLIEGEL,117
FUDYMA,117
GAJCZAK,117
GAŁOWICZ,117
GIEDZIUN,117
GIEŁŻECKI,117
GŁUSIEC,117
GMACHOWSKI,117
GOLICZEWSKI,117
GRYCHNIK,117
GRZESIKOWSKI,117
GZEL,117
HAAK,117
HAJNCE,117
HAWRYLCZAK,117
HLADCHENKO,117
HORETSKYI,117
HRACHOV,117
HUBIN,117
INTEREWICZ,117
ISAŃSKI,117
JANKÓW,117
JĘDRUSIŃSKI,117
KAJDANIAK,117
KALAS,117
KALIADA,117
KAMASZEWSKI,117
KARASOV,117
KASIANCHUK,117
KASIORKIEWICZ,117
KASTNER,117
KASZOWICZ,117
KELLNER,117
KIERYK,117
KIFER,117
KLEKOCIŃSKI,117
KLISHCH,117
KŁAKUS,117
KOCIOŁ,117
KOKORNACZYK,117
KOLTSOV,117
KONTOWSKI,117
KOPACZEL,117
KOWALENKO,117
KRĘTOWSKI,117
KUBASA,117
KUKS,117
KUSZKOWSKI,117
LAHODA,117
LAUTERBACH,117
LICHNOWSKI,117
LIZIŃCZYK,117
LUBINIECKI,117
LUBOWIEDZKI,117
LUTOBORSKI,117
LUTS,117
ŁAZOWY,117
ŁYSIUK,117
MACHNACZ,117
MACUK,117
MAJKO,117
MANDOK,117
MAŃCZUK,117
MATAŚKA,117
MATEROWSKI,117
MATYSZCZUK,117
MAZUREWICZ,117
MAZURO,117
MELONEK,117
MEŁNICKI,117
MIĘSIAK,117
MIKUSIŃSKI,117
MOLĄG,117
MOLO,117
MONDAL,117
MORYŚ,117
MUSIAŁKOWSKI,117
MUSIELIŃSKI,117
MYŁEK,117
NAJGRODZKI,117
NALEWSKI,117
NAPIERAJCZYK,117
NIESLER,117
NOROWSKI,117
NOWORZYN,117
OCHAP,117
OKAZ,117
ORDYS,117
OSES,117
OSZCZAK,117
OŹDZIŃSKI,117
PAJKOWSKI,117
PAWLARCZYK,117
PENCONEK,117
PEREDERII,117
PIELECHA,117
PIETROSZEK,117
PISAREWICZ,117
PLEBAŃCZYK,117
PLUTO,117
PODOLIAK,117
PODWIŃSKI,117
POŁACIK,117
PORĘBIAK,117
PRONIUK,117
PRZEDWOJEWSKI,117
PRZESZŁOWSKI,117
PRZYNOGA,117
PSZCZOŁOWSKI,117
RACEWICZ,117
RAROK,117
RAWINIS,117
REDMAN,117
REKIEĆ,117
REMIAN,117
REZULAK,117
ROSSI,117
ROZKWITALSKI,117
RYBACHOK,117
SAKOVICH,117
SALIMOV,117
SAMSONIUK,117
SAVA,117
SCHÜTZ,117
SCOTT,117
SĘPKA,117
SIECZKOŚ,117
SIEŃCZYK,117
SIMINIAK,117
SŁANIA,117
STABIŃSKI,117
STETSYK,117
STRZECHOWSKI,117
SVYRYD,117
SWORCZUK,117
SYNIUK,117
SYNORACKI,117
SZARA,117
SZCZOCZARZ,117
SZEMPRUCH,117
SZKOTNICKI,117
SZKUAT,117
SZMATLOCH,117
SZORCZ,117
SZYDZIK,117
ŚCIEPURO,117
ŚWIRSZCZ,117
TADROWSKI,117
TALECKI,117
TCHOROWSKI,117
TEISTER,117
TOMKO,117
TROŚCIŃSKI,117
TYMPALSKI,117
TYNKIEWICZ,117
USTINOV,117
VOSS,117
WANIO,117
WAWIERNIA,117
WAWRZYNÓW,117
WAZ,117
WERONIECKI,117
WITASIAK,117
WOELKE,117
WORONECKI,117
WOŹNOWSKI,117
WRÓŻEK,117
WUDNIAK,117
WUJAK,117
ZACHARKIEWICZ,117
ZASIADCZYK,117
ZAWIEJSKI,117
ZDRZAŁKA,117
ZEMBATY,117
ZHELEZNIAK,117
ZIOŁEK,117
ZYBOWSKI,117
ŹRÓBEK,117
ŻEGARSKI,117
ŻÓŁTKOWSKI,117
ŻUCHNIEWICZ,117
AN,116
ANDRECKI,116
ANDRONIK,116
APOLA,116
AZAROV,116
BABIJCZUK,116
BAKIERSKI,116
BARABACH,116
BENKO,116
BILENKYI,116
BIŁOS,116
BINDEK,116
BIZIUK,116
BLACHNIK,116
BŁACHUCKI,116
BOBRZYŃSKI,116
BOHUTSKYI,116
BOJARYN,116
BOLKOWSKI,116
BORUSIŃSKI,116
BOSKI,116
BRENKUS,116
BRYDZIŃSKI,116
BRZESZKIEWICZ,116
BURDUN,116
CEGIEŁKOWSKI,116
CEGLEWSKI,116
CHEREDNYK,116
CHRASTEK,116
CHYRVA,116
CHYTROWSKI,116
CIECIOR,116
CIOŁKA,116
CIUNEL,116
CZASAK,116
CZEPIŻAK,116
CZOIK,116
CZUCHNOWSKI,116
CZUJA,116
CZWARTOS,116
DEJWOREK,116
DENISOV,116
DORN,116
DRUĆ,116
DUBROVSKYI,116
DUDOWICZ,116
DYZMA,116
DZBIK,116
ELENDT,116
FIJAŁKA,116
FLISIK,116
GABROWSKI,116
GALAR,116
GŁADYKOWSKI,116
GŁĄBICA,116
GNOZA,116
GOJLIK,116
GOLL,116
GRABALA,116
GRANOS,116
GRĄZ,116
GRĘZAK,116
GRUBEK,116
GRYN,116
GRZYBCZAK,116
HAJKOWICZ,116
HEPPNER,116
HOLZER,116
HORBIK,116
HORSHKOV,116
HRECZYŃSKI,116
HULALKA,116
HUMMEL,116
JAKOWICZ,116
JENDRYCH,116
JĘDRZEJUK,116
JUNKER,116
KALWA,116
KARTECZKA,116
KAVUN,116
KAZAŃSKI,116
KĘCIŃSKI,116
KICMAN,116
KIJANIA,116
KLEPAK,116
KLUPIEĆ,116
KNITER,116
KÖHLER,116
KOKOSA,116
KOMINKIEWICZ,116
KONICZ,116
KORCHUT,116
KORNATA,116
KRIUCHKOV,116
KRUHLIAK,116
KUCHOWICZ,116
KUJAŁOWICZ,116
KUKURYKA,116
KURIAN,116
KWELA,116
KWIL,116
LATOŚ,116
LAVRIV,116
LEBED,116
LEONENKO,116
LEWOSZ,116
LIBURSKI,116
LIRA,116
LISZTWAN,116
ŁOSEK,116
MACAŁKA,116
MACIUSZONEK,116
MAKAŁA,116
MAKSOŃ,116
MASIERAK,116
MATEUSZUK,116
MATŁACZ,116
MATUSEVICH,116
MATYBA,116
MĘDYKOWSKI,116
MIARCZYŃSKI,116
MORZYC,116
MOTULEWICZ,116
MUCHOROWSKI,116
MUSZKA,116
NAKONOWSKI,116
NICZKE,116
OBAROWSKI,116
OBSTAWSKI,116
OŁTUSZYK,116
OSZAL,116
PACZOCHA,116
PAGÓREK,116
PINIECKI,116
PŁOCHACKI,116
POHNKE,116
POKLĘKOWSKI,116
POKUSIŃSKI,116
POKUTA,116
POUDEL,116
PRAKAPOVICH,116
PROTSIV,116
PRZECHERKA,116
PYZALSKI,116
RACA,116
RACKIEWICZ,116
RADLICA,116
RAMANCHUK,116
RASHID,116
RATUŁOWSKI,116
RAZOWSKI,116
RIEZNIK,116
ROCHON,116
RUSANOV,116
RYBACZEWSKI,116
RYBANIEC,116
SAMELAK,116
SEREDNICKI,116
SIEDLOK,116
SILICKI,116
SIONKO,116
SKÓRNÓG,116
SKRZYDELSKI,116
SŁAWICKI,116
SŁOMOWICZ,116
SŁONINKA,116
SMETANA,116
SOBAL,116
SOLOMON,116
SOLPA,116
SPRATEK,116
SPUTOWSKI,116
STARCHENKO,116
STENDERA,116
STRAŻYŃSKI,116
STRĘBSKI,116
SYNAKOWSKI,116
SYROCZYŃSKI,116
SYSIK,116
SZCZERBUK,116
SZEMIEL,116
SZOL,116
SZOSKA,116
SZTAJER,116
SZTUR,116
ŚCIĘGOSZ,116
ŚLEWA,116
ŚMIGALSKI,116
ŚPIEWLA,116
TAŁAJCZYK,116
TARABURA,116
TĄDEL,116
TOBOLIK,116
TOBOROWICZ,116
TRAFISZ,116
TREMBOWSKI,116
TROWSKI,116
TYMOWSKI,116
TYSKA,116
UCHEREK,116
UNDZIAKIEWICZ,116
USIŃSKI,116
VOLOVYK,116
WACKO,116
WALLACH,116
WEDER,116
WESTER,116
WIDACHA,116
WIDANKA,116
WIDŁO,116
WIELICHOWSKI,116
WIESZAŁA,116
WIKTORKO,116
WILKOŁASKI,116
WINCZA,116
WOJCIESZONEK,116
WUTKE,116
ZABROŃ,116
ZGÓRZYŃSKI,116
ZYM,116
ŻADZIŁKO,116
ALEKS,115
BADERA,115
BALCARCZYK,115
BANDUROWSKI,115
BANERT,115
BARTAS,115
BARUL,115
BEZKROVNYI,115
BRASZKIEWICZ,115
BRYGAŁA,115
BRZEMIŃSKI,115
BRZYCHCZY,115
BUDLEWSKI,115
BUNDA,115
BUŻEK,115
CEBELIŃSKI,115
CEROWSKI,115
CIECHOCIŃSKI,115
CIPORA,115
CIUNOWICZ,115
CYRKLAFF,115
CZEBIENIAK,115
CZEBOTAR,115
CZELADKO,115
DAC,115
DARGIEL,115
DAVITADZE,115
DENICKI,115
DOMANSKYI,115
DRENDA,115
DROBNICA,115
DUCZYMIŃSKI,115
DUDCZYK,115
DUNETS,115
DUREJKO,115
DYLKA,115
DYLLA,115
DŹWIGAŁ,115
EDER,115
FENDRYCH,115
FIR,115
FRANIKOWSKI,115
FRIEDMAN,115
GASZAK,115
GESING,115
GOLEWSKI,115
GOLĘDZINOWSKI,115
GOŁASKI,115
GORAJEWSKI,115
GORĄCZNIAK,115
GOREK,115
GOŚCIAK,115
GRAU,115
GROMNIAK,115
GROSZKIEWICZ,115
GRYCNER,115
GRZESIKIEWICZ,115
GRZESISTA,115
GUŁAŚ,115
HABIŃSKI,115
HAJDYS,115
HAJT,115
HAŁAJDA,115
HANCZARUK,115
HAŃCZAK,115
HARAŹNY,115
HŁADUN,115
HUTSALIUK,115
IMACH,115
INSADOWSKI,115
JEWIAK,115
JOSE,115
JURCZYGA,115
JURETKO,115
KAJDER,115
KAJUT,115
KALACZYŃSKI,115
KAMIZELA,115
KARATYSZ,115
KAZMIRUK,115
KHILKO,115
KHUDYK,115
KIERSTAN,115
KLACZA,115
KLETKIEWICZ,115
KNOZOWSKI,115
KOBAN,115
KOCHUBEI,115
KOLBUSZEWSKI,115
KOŁBON,115
KOMODA,115
KONDASZEWSKI,115
KORALIK,115
KOROTKYI,115
KOSIUK,115
KRAJCZYK,115
KRAŚNIAK,115
KRZEMIONKA,115
KUBICIUS,115
KUBŚ,115
KUKUŚ,115
KULAWSKI,115
KUPICZ,115
KUSZNIERUK,115
KUZIEMKOWSKI,115
LASER,115
LENIAR,115
LEONCZUK,115
LEVKOVYCH,115
LISKOWICZ,115
LISOUSKI,115
LUL,115
LULKOWSKI,115
LUNOV,115
ŁABAZIEWICZ,115
ŁAZUCHIEWICZ,115
ŁOGIN,115
MACUGOWSKI,115
MAICHER,115
MAJSNEROWSKI,115
MAKSYMÓW,115
MARCHWACKI,115
MARCZENIA,115
MARKISZ,115
MARTUSEWICZ,115
MASKIEWICZ,115
MASZKE,115
MATALEWSKI,115
MIASKOWSKI,115
MIŁAK,115
MOCHEL,115
MOLNAR,115
MONDRZEJEWSKI,115
MUMINOV,115
MUSZYTOWSKI,115
NEŚCIOR,115
NIECZYPOR,115
NIEMIRKA,115
OCZYŃSKI,115
OLESHKO,115
OLĘCKI,115
ONASZKIEWICZ,115
ORLEAŃSKI,115
ORLEWICZ,115
OSTANEK,115
OSTROGA,115
PACHELSKI,115
PAŁECKI,115
PANICZKO,115
PASIOWIEC,115
PEKAR,115
PIESAK,115
PIETERWAS,115
PIŚKO,115
PODLODOWSKI,115
PODUFALSKI,115
POGORZAŁEK,115
POMAGALSKI,115
POSADOWSKI,115
PRAGŁOWSKI,115
PROTSAK,115
PUPKO,115
PUSKARZ,115
PYŁKO,115
RĘBALSKI,115
ROZKRUT,115
ROŻNIECKI,115
RYGAŁA,115
RYTER,115
RZYMYSZKIEWICZ,115
SALCZYŃSKI,115
SARA,115
SAUCHANKA,115
SEGIETA,115
SEKRET,115
SEO,115
SHTYK,115
SICZYŃSKI,115
SIUCHNIŃSKI,115
SKARPETOWSKI,115
SKŁADNIK,115
SKRECZKO,115
SKRZYPICIEL,115
SŁUŻALEC,115
SMAROŃ,115
SMUŁA,115
SOLODOVNYK,115
SOROCHYNSKYI,115
STROK,115
SUTERSKI,115
SYKUCKI,115
SZCZEPURA,115
SZCZYRA,115
SZEREMET,115
SZLAMA,115
SZMIGIERO,115
SZUBARGA,115
SZWALEC,115
SZYMACZEK,115
SZYMALAK,115
ŚLIFIRCZYK,115
TAJDUŚ,115
TALIPSKI,115
TRACICHLEB,115
TROKOWSKI,115
TRUCHANOWICZ,115
UKRAIŃSKI,115
VERESHCHAK,115
WAKSMAŃSKI,115
WALACH,115
WALACIK,115
WALENTYN,115
WALKARZ,115
WARDAWY,115
WĄTROBIŃSKI,115
WEJNEROWSKI,115
WIEDRO,115
WILCZĘGA,115
WOJTULSKI,115
WYCHOWSKI,115
ZABIEGA,115
ZACHA,115
ZDOLIŃSKI,115
ZHDANIUK,115
ZIEMCZYK,115
ZOLOTUKHIN,115
ZWIERZYCKI,115
ZYMON,115
ŻELIGOWSKI,115
ŻOŁĘDZIEJEWSKI,115
ŻURECKI,115
ABASOV,114
ABRAMOVYCH,114
ALBINGIER,114
ANACKI,114
ASTRAMOWICZ,114
BABKIN,114
BARTOLIK,114
BARWIAK,114
BIELOUSOV,114
BINDUGA,114
BLANDZI,114
BLASZCZYK,114
BŁAZUCKI,114
BORCZAK,114
BOREIKO,114
BORLIK,114
BORUSZCZAK,114
BRUNKE,114
BUDZICHOWSKI,114
BUDZINSKI,114
BULWAN,114
BUSKI,114
BYRTUS,114
CELLMER,114
CHAŁUDA,114
CHARMUSZKO,114
CHWOJNICKI,114
CIELOSZCZYK,114
CIĘŻOBKA,114
CIŹLA,114
CUDNOWSKI,114
CZEKANOWSKI,114
CZUDOWSKI,114
DANYLUK,114
DAŃKÓW,114
DEHTIAR,114
DELIJEWSKI,114
DŁUBISZ,114
DONNER,114
DOTKA,114
DRECHSLER,114
DULEWSKI,114
DYBEŁ,114
DYGDOŃ,114
DZIEWIERZ,114
ERDANOWSKI,114
FAJGER,114
FARAŚ,114
FEDUS,114
FELICIAK,114
FIDURSKI,114
FLORKÓW,114
GABARKIEWICZ,114
GAŁASZKIEWICZ,114
GAŁĘŻEWSKI,114
GAWRYL,114
GLAZ,114
GOCLON,114
GRABINSKI,114
GROTKIEWICZ,114
GRUSZOWSKI,114
GWOZDEK,114
HAIDAR,114
HAJDUŁA,114
HAŁABURA,114
HAŚ,114
HAUK,114
HOHA,114
HOJNA,114
HOWIS,114
HUZAREK,114
IHNATIUK,114
INDEKA,114
JAKSZUK,114
JAŚLAR,114
JAWNY,114
JĘDRASIEWICZ,114
JĘDRYCHA,114
JOCEK,114
JOCHIM,114
KACPEROWSKI,114
KALĘBA,114
KARPOVYCH,114
KATEUSZ,114
KAZIMOV,114
KĄCIAK,114
KLEPACZKO,114
KLĘBA,114
KLIKOWICZ,114
KLIMCZYŃSKI,114
KLONECKI,114
KOFIN,114
KOŁOWIECKI,114
KOŁPACZEWSKI,114
KORCIPA,114
KORKMAZ,114
KORZIŃSKI,114
KOZERAWSKI,114
KOZINOGA,114
KRAKIEWICZ,114
KRUCZKIEWICZ,114
KRYVKO,114
KRZYSZOWSKI,114
KUBERACKI,114
KULLING,114
KUPISIŃSKI,114
KUTOVYI,114
KWACZAŁA,114
KWOCZKO,114
LATTA,114
LAVRUK,114
LEVANDOVSKYI,114
LISKOWSKI,114
LISOK,114
LUTSYSHYN,114
ŁAMACZ,114
ŁASSA,114
MALITOWSKI,114
MARCHOCKI,114
MARKWART,114
MARYNIARCZYK,114
MATULIS,114
MATYSKO,114
MENDELA,114
MIĄC,114
MIĄSO,114
MIESZCZAKOWSKI,114
MIĘGOĆ,114
MIKLEWICZ,114
MILANOWICZ,114
MORZE,114
MOTEK,114
MOTYLEWICZ,114
NADSTAWEK,114
NATCHKEBIA,114
NAUKA,114
NOLKA,114
NOREMBERG,114
NOWOSTAWSKI,114
NYDEREK,114
OBŁĘKOWSKI,114
ONICHIMIUK,114
OPOCZYŃSKI,114
ORCHEL,114
OSYSKO,114
PALT,114
PARUSZKIEWICZ,114
PASZKA,114
PAZNIAK,114
PENCARSKI,114
PIEJDAK,114
PIEKARUŚ,114
PIETROCZUK,114
POCAŁUJKO,114
PODWOJSKI,114
POLANIAK,114
POPESCU,114
POŻARSKI,114
PROCHASKA,114
PROSZKOWIEC,114
PRYSZCZEWSKI,114
PYRCHAŁA,114
RAPP,114
RARAK,114
RAUBA,114
REMISIEWICZ,114
RESTÁS,114
RESZCZYK,114
REUS,114
ROHRAFF,114
SAREŁO,114
SARZALSKI,114
SATER,114
SEBESTA,114
SENDLEWSKI,114
SIDAROVICH,114
SIDORENKO,114
SIEBYŁA,114
SKORA,114
SKORODZIEŃ,114
SKURKA,114
SMOTRYCKI,114
SPERZYŃSKI,114
STECIAK,114
STOPPEL,114
STUBIŃSKI,114
STYSZ,114
SWAKOWSKI,114
SYLWANOWICZ,114
SZAFIŃSKI,114
SZEWERA,114
SZNER,114
SZPOJANKOWSKI,114
SZPRYNGIEL,114
SZULAR,114
ŚLIPSKI,114
ŚLIWOŃ,114
ŚMIERZCHAŁA,114
ŚMIGAŁA,114
ŚNIEGULSKI,114
ŚWIRGOŃ,114
TAMM,114
TEICHMAN,114
TELAKOWIEC,114
TENDAJ,114
TOMŻYŃSKI,114
TREBUNIA,114
TRYNKIEWICZ,114
TRZASKACZ,114
TUBISZ,114
TUZIAK,114
WANATOWICZ,114
WENDLANDT,114
WIERZEWSKI,114
WITASZAK,114
WITTCHEN,114
WRANA,114
WULTAŃSKI,114
WYGRALAK,114
WYREMBEK,114
WYRODEK,114
ZADURSKI,114
ZASŁAWSKI,114
ZATOKA,114
ZEMBOL,114
ZIĘBACZ,114
ZINCZUK,114
ZUJKO,114
ANDRZEJKIEWICZ,113
BAKSALARY,113
BANDOŁA,113
BASOV,113
BIAŁASZEWSKI,113
BIELONKO,113
BIELUCZYK,113
BIERCZAK,113
BITOWT,113
BLACHNICKI,113
BOBULSKI,113
BORDON,113
BORTACKI,113
BOSZKE,113
BRACISIEWICZ,113
BURYI,113
BZIK,113
CEPLIN,113
CETKOWSKI,113
CHABINKA,113
CHMIELOWICZ,113
CHUHAI,113
CIARCZYŃSKI,113
CUŻYTEK,113
CYFKA,113
CYMAŃSKI,113
CYZMAN,113
CZEPIL,113
CZWARTEK,113
DABIŃSKI,113
DAWISKIBA,113
DEBUDAJ,113
DELIŚ,113
DELKOWSKI,113
DELMACZYŃSKI,113
DEMUS,113
DENERT,113
DERYNG,113
DRANKIEWICZ,113
DYBISZ,113
DZIERZĘGA,113
DZWONIARKIEWICZ,113
ELMINOWSKI,113
ERENC,113
FARMAS,113
FERKO,113
FIAŁKA,113
FRASZEK,113
FUJAWA,113
FURSOV,113
GAJDEROWICZ,113
GARBOCZ,113
GENIUSZ,113
GIREK,113
GISZKA,113
GLABA,113
GNIEWASZEWSKI,113
GOLCZYŃSKI,113
GOMOLIŃSKI,113
GOTOWICZ,113
GÓRNIKIEWICZ,113
GRUBIZNA,113
GRUZIEL,113
GRYZIAK,113
GRZENIK,113
GUTKIEWICZ,113
HAJEC,113
HAPUNIK,113
HEC,113
HERDUŚ,113
HOGA,113
HOŁDYS,113
HRYNOWIECKI,113
HUPTYŚ,113
HYPTA,113
ITRICH,113
IVAKHNENKO,113
JAHOŁKOWSKI,113
JANERKA,113
JASIOK,113
JEFIMOW,113
JERKA,113
JURGOWIAK,113
KAFLIK,113
KALUŹNIAK,113
KANTOWICZ,113
KASIANIUK,113
KAZAKEVICH,113
KAZALSKI,113
KEMUŚ,113
KICZOR,113
KIERNOŻYCKI,113
KILAŃSKI,113
KITRYS,113
KLANOWSKI,113
KŁAPCIA,113
KOJTEK,113
KOLISZ,113
KOLOMIICHUK,113
KOŁOSZYC,113
KONIECZKOWSKI,113
KONIORCZYK,113
KORPACZ,113
KOSTIUKEVYCH,113
KOSZALSKI,113
KOTNOWSKI,113
KOZLENKO,113
KOZUBIK,113
KRYSZTOFIŃSKI,113
KRYVOSHEIEV,113
KUCZMASZEWSKI,113
KUREC,113
LABUN,113
LECHNIO,113
LITWIC,113
LOKS,113
LUKANIUK,113
ŁABUSZEWSKI,113
ŁAKUS,113
ŁOJOWSKI,113
ŁOWIGUS,113
ŁUŃSKI,113
ŁYSKA,113
MAKSYLEWICZ,113
MARSULA,113
MATOWICKI,113
MELZACKI,113
MIC,113
MIKOSIŃSKI,113
MIŁOTA,113
MOGILEWSKI,113
MOJKOWSKI,113
MOJZYK,113
MUDEL,113
MUŚLEWSKI,113
MYSZKE,113
MYŚLEWSKI,113
NETER,113
OCHEL,113
OHORODNIK,113
ONYSKIV,113
OPASKA,113
OSTROWIECKI,113
OTOK,113
PALENTA,113
PARKER,113
PEISERT,113
PEREHINETS,113
PIRECKI,113
POBOŻNIAK,113
POLONSKYI,113
POŁONOWSKI,113
PRANCZKE,113
PRIADKA,113
PROKOPSKI,113
PROŚCIAK,113
PSTRONG,113
PURCELEWSKI,113
PUSZKARZ,113
PYŹ,113
RACHOWICZ,113
RAMENDA,113
REJMANOWSKI,113
REMPLEWICZ,113
RENIEWICZ,113
ROGÓZ,113
ROMAK,113
ROSIN,113
ROZMARYNOWICZ,113
ROŻKOWICZ,113
RUBAJCZYK,113
RUKS,113
RYDELSKI,113
RZEPIAK,113
SAMOJŁOWICZ,113
SAP,113
SARKAR,113
SARNOWICZ,113
SARZYNIAK,113
SCHARMACH,113
SCHMELTER,113
SCHWICHTENBERG,113
SHCHUKIN,113
SIDORKO,113
SIĘKA,113
SIŃCZAK,113
SKORNIA,113
SKÓROWSKI,113
SKRAJDA,113
SŁAWETA,113
SMOLICH,113
SOPOĆKO,113
SOPOROWSKI,113
SOSNECKI,113
STARAVOITAU,113
STRABEL,113
STRUMNIK,113
STYBEL,113
SVIDERSKYI,113
SWARBUŁA,113
SWARZYŃSKI,113
SYMELA,113
SZCZEPONIK,113
SZEJKA,113
SZNEL,113
SZORDYKOWSKI,113
SZPADERSKI,113
SZPITALNY,113
SZTUL,113
SZUMLIŃSKI,113
SZYPA,113
TACZALSKI,113
TARAPACKI,113
TIKHONOV,113
TORZYŃSKI,113
TUSTANOWSKI,113
TUZIEMSKI,113
WALISKO,113
WARCZACHOWSKI,113
WENDE,113
WĘCŁAW,113
WĘDRYCHOWSKI,113
WIEJOWSKI,113
WIERNASZ,113
WISŁOWSKI,113
WNUCZKO,113
WOLSZTYŃSKI,113
WÓR,113
WRZAŁKA,113
WYLAŹ,113
WYŻYCKI,113
ZIMMERMAN,113
ZUBCHENKO,113
ZWIERKO,113
ŻELAZIŃSKI,113
ŻELAZNOWSKI,113
ŻOŁNIERKIEWICZ,113
ŻYWEK,113
BALBUZA,112
BASARABA,112
BEMBENIK,112
BEMBNOWICZ,112
BEZVERKHYI,112
BINERT,112
BOSENKO,112
BOŻEMSKI,112
BRZÓSKO,112
BULAS,112
BUŁDAK,112
CENCEK,112
CHOROSZKO,112
CIACIUCH,112
CIEPLECHOWICZ,112
CLARKE,112
COMPA,112
CUKIERDA,112
CYGNAROWICZ,112
CZARNOCIŃSKI,112
CZEMKO,112
CZEMPAS,112
CZEREPIŃSKI,112
CZYSTY,112
ĆMAK,112
DACZ,112
DALGIEWICZ,112
DANILEWSKI,112
DEJAS,112
DELCZYK,112
DEMIROV,112
DĘBNY,112
DIMOV,112
DMYTRÓW,112
DOMINIUK,112
DRAK,112
DRZEWI,112
DUMKIEWICZ,112
DUONG,112
DZIÓŁKO,112
FAMIELEC,112
FIŁOŃCZUK,112
GAŁCZYK,112
GAŁOSZ,112
GAWARZYŃSKI,112
GAWRYSZAK,112
GIEŁDON,112
GOŁEMBIOWSKI,112
GOWKIELEWICZ,112
GRĄDZ,112
GROCHOWICKI,112
GROMOTOWICZ,112
GRYWALSKI,112
HAJSKI,112
HAPANOWICZ,112
HARCZUK,112
HAWLICZEK,112
HERUS,112
HOJNOR,112
HOJOŁ,112
HRAB,112
HRYHORASH,112
HUBENKO,112
ILECKI,112
ISMOILOV,112
IVASHKO,112
IWANKIEWICZ,112
JAKS,112
JAKUBOWIAK,112
JANCZUKOWICZ,112
JOPA,112
JÓZEF,112
JÓŹKO,112
JUŹWIN,112
KAL,112
KALL,112
KARAPUDA,112
KARWASIŃSKI,112
KAUFMANN,112
KAZUŁA,112
KIBIL,112
KIELANOWSKI,112
KINASTOWSKI,112
KIRKO,112
KITTEL,112
KLEJN,112
KMUK,112
KOCIAŁKOWSKI,112
KOLECZKO,112
KOŁACIAK,112
KOŁASZEWSKI,112
KOMOŃSKI,112
KORBUSZEWSKI,112
KOSIDOWSKI,112
KOSMATY,112
KOSZCZUK,112
KOSZUCKI,112
KRAKA,112
KRAWCZUN,112
KRONKOWSKI,112
KRUSIEC,112
KRUT,112
KRYSTMAN,112
KRYVOSHEIA,112
KUMOŚ,112
KURZYNOWSKI,112
KUŹBIŃSKI,112
LANKAMER,112
LAVRINENKO,112
LENDER,112
LEWONIEWSKI,112
LICHOŁAT,112
LISSOWSKI,112
LOFEK,112
LUKOWSKI,112
ŁATWIŃSKI,112
ŁEPPEK,112
MACHOŚ,112
MADEKSZA,112
MAGAJ,112
MAGOLAN,112
MAHMOOD,112
MALCHENKO,112
MAŁCZUK,112
MARCHAJ,112
MARSKI,112
MARZOCH,112
MĄDRASZEK,112
MELANOWICZ,112
MENDECKI,112
MIAZGOWICZ,112
MICHAŁCZYK,112
MICHLEWSKI,112
MICKA,112
MIEMCZYK,112
MIKŁA,112
MIRCZAK,112
MISKO,112
MŁODY,112
MOCKO,112
MOSKALYK,112
MOWCZAN,112
MÓWKA,112
MURASZEWSKI,112
NYKOLYN,112
OCHTABIŃSKI,112
OLEJEK,112
OLENIAK,112
OLEŚKO,112
OLICHWIRUK,112
ONYSKO,112
OPAŁKO,112
OSZKIEL,112
PACHANA,112
PARDEL,112
PASLAVSKYI,112
PAWĘZOWSKI,112
PĄSIEK,112
